ENGLISH,FRENCH
New Game,Nouvelle partie
Continue,Continuer
Load,Charger
Options,Options
Settings,Parametres
Credits,Credits
Exit,Quitter
Quit,Quitter
Back,Retour
Next,Suivant
Finish,Terminer
Finished,Terminer
Start,Commencer
Start Game,Commencer
Character Creation,Creation de personnage
Press Any Button,Appuyez sur une touche
Press any button,Appuyez sur une touche
Press any key,Appuyez sur une touche
Strength,Force
Dexterity,Dexterite
Constitution,Constitution
Intelligence,Intelligence
Wisdom,Sagesse
Charisma,Charisme
STR,FOR
DEX,DEX
CON,CON
INT,INT
WIS,SAG
CHA,CHA
Shrine,Sanctuaire
Doom,Perdition
Agrarian,Agraire
Drunk Sphinx,Sphinx Ivre
Secret Tunnel,Tunnel secret
Lower Lair,Antre inferieur
Tolstad West,Tolstad Ouest
Mechanical benefits of Wisdom,Avantages mecaniques de la Sagesse
Name of Idea,Nom de l'idee
Quest Branch Description,Description de branche de quete
Zone of Truth,Zone de verite
Spellbook,Livre de sorts
Cantrip,Tour de magie
Action,Action
Bonus Action,Action bonus
Reaction,Reaction
1st,1er
2nd,2e
3rd,3e
4th,4e
5th,5e
